metric,family,description
boxentry_box_entry_attempts__home,Box Entries,"Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model in home matches only."
boxentry_box_entry_attempts__home_per90,Box Entries,"Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts__home_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts__home_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts__home_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model in home matches only."
boxentry_box_entry_attempts__home_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model in home matches only."
boxentry_box_entry_attempts__last5,Box Entries,"Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_attempts__last5_per90,Box Entries,"Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts__last5_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts__last5_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts__last5_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_attempts__last5_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_attempts_per90,Box Entries,"Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_attempts_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model (season total)."
boxentry_box_entry_attempts_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Attempted entries into the penalty box (pass, carry or take-on reaching the box), from the Box Entry model (season total)."
boxentry_box_entry_completed,Box Entries,"Box entries that succeeded (ball retained inside the box), from the Box Entry model (season total)."
boxentry_box_entry_completed__H1,Box Entries,"Box entries that succeeded (ball retained inside the box), from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_completed__H1_per90,Box Entries,"Box entries that succeeded (ball retained inside the box), from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_completed__H1_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries that succeeded (ball retained inside the box), from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_completed__H1_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries that succeeded (ball retained inside the box), from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_completed__H1_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries that succeeded (ball retained inside the box), from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_completed__H1_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries that succeeded (ball retained inside the box), from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_completed__H2,Box Entries,"Box entries that succeeded (ball retained inside the box), from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_completed__H2_per90,Box Entries,"Box entries that succeeded (ball retained inside the box), from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_completed__H2_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries that succeeded (ball retained inside the box), from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
